authors,title,description,copies,publisher,pages,isbn10,kind,image,durataprestito,condizioniestensione
Matthew Lewis,The Monk,"'He was deaf to the murmurs of conscience, and resolved to satisfy his desires at any price.' The Monk (1796) is a sensational story of temptation and depravity, a masterpiece of Gothic fiction and the first horror novel in English literature. The respected monk Ambrosio, the Abbot of a Capuchin monastery in Madrid, is overwhelmed with desire for a young girl; once having abandoned his monastic vows he begins a terrible descent into immorality and violence. His appalling fall from grace embraces blasphemy, black magic, torture, rape, and murder, and places his very soul in jeopardy. Lewis's extraordinary tale drew on folklore, legendary ghost stories, and contemporary dread inspired by the terrors of the French Revolution. Its excesses shocked the reading public and it was condemned as obscene. The novel continues to beguile and shock readers today with its gruesome catalogue of iniquities, while at the same time giving a profound insight into the deep anxieties experienced by British citizens during one of the most turbulent periods in the nation's history. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",5,Oxford University Press,416,1987044535,horror,/copertina libri/TheMonk.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Bram Stoker,Dracula,"The classic horror tale of the powerful, centuries-old vampire follows his bloodthirsty trail from the mountains of Central Europe to England, until Dr. Van Helsing comes up with a way to end his reign of terror.",5,Ignatius Press,558,1586174940,horror,/copertina libri/Dracula.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Anne Rice,Interview with the Vampire,"Recounting his first two hundred years of life, a vampire tells of his erotic alliance with Claudia, whose passions are forever locked up in the body of a child",5,"Random House Digital, Inc.",346,345337662,horror,/copertina libri/InterviewWithTheVampire.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Stephen King,The Stand,"Stephen King’s apocalyptic vision of a world blasted by plague and tangled in an elemental struggle between good and evil remains as riveting and eerily plausible as when it was first published. A patient escapes from a biological testing facility, unknowingly carrying a deadly weapon: a mutated strain of super-flu that will wipe out 99 percent of the world’s population within a few weeks. Those who remain are scared, bewildered, and in need of a leader. Two emerge—Mother Abagail, the benevolent 108-year-old woman who urges them to build a peaceful community in Boulder, Colorado; and Randall Flagg, the nefarious “Dark Man,” who delights in chaos and violence. As the dark man and the peaceful woman gather power, the survivors will have to choose between them—and ultimately decide the fate of all humanity. (This edition includes all of the new and restored material first published in The Stand: The Complete And Uncut Edition.) From the Trade Paperback edition.",5,Anchor,1200,3855288755,horror,/copertina libri/TheStand.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Stephen King,Carrie,"In this classic tale of psychic power and human cruelty, a tormented teenage girl reigns terrible vengence down on her enemies at the prom. Reprint.",5,Simon and Schuster,208,671039733,horror,/copertina libri/Carrie.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Stephen King,The Shining,"With an excerpt from the sequel, Doctor Sleep. Terrible events occur at an isolated hotel in the off season, when a small boy with psychic powers struggles to hold his own against the forces of evil that are driving his father insane.",5,Anchor,464,385528868,horror,/copertina libri/TheShining.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robert R. McCammon,Boy's Life,"An Alabama boy’s innocence is shaken by murder and madness in the 1960s South in this novel by the New York Times–bestselling author of Swan Song. It’s 1964 in idyllic Zephyr, Alabama. People either work for the paper mill up the Tecumseh River, or for the local dairy. It’s a simple life, but it stirs the impressionable imagination of twelve-year-old aspiring writer Cory Mackenson. He’s certain he’s sensed spirits whispering in the churchyard. He’s heard of the weird bootleggers who lurk in the dark outside of town. He’s seen a flood leave Main Street crawling with snakes. Cory thrills to all of it as only a young boy can. Then one morning, while accompanying his father on his milk route, he sees a car careen off the road and slowly sink into fathomless Saxon’s Lake. His father dives into the icy water to rescue the driver, and finds a beaten corpse, naked and handcuffed to the steering wheel—a copper wire tightened around the stranger’s neck. In time, the townsfolk seem to forget all about the unsolved murder. But Cory and his father can’t. Their search for the truth is a journey into a world where innocence and evil collide. What lies before them is the stuff of fear and awe, magic and madness, fantasy and reality. As Cory wades into the deep end of Zephyr and all its mysteries, he’ll discover that while the pleasures of childish things fade away, growing up can be a strange and beautiful ride. “Strongly echoing the childhood-elegies of King and Bradbury, and every bit their equal,” Boy’s Life, a winner of both the Bram Stoker and World Fantasy Awards, represents a brilliant blend of mystery and rich atmosphere, the finest work of one of today’s most accomplished writers (Kirkus Reviews).",5,Open Road Media,582,1453231560,horror,/copertina libri/boysLife.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robert R. McCammon,Mine,"A psychopathic female fugitive provokes a mother’s vengeance in this terrifying thriller by the New York Times–bestselling author of Gone South and Boy’s Life. Back in the 1960s, Mary Terrell shot and killed a man. A former member of the fanatical Storm Front Brigade—a splinter group of the notorious Weathermen—Terrell has stayed one step ahead of the FBI for decades. Living with numerous identities and menial jobs, Terrell’s only constants in life have been LSD, psychotic delusions of motherhood, and murderous rage. The sixties are long gone, but Mary is still out there. Now, provoked by a message she reads in Rolling Stone, she’s convinced that the surviving leader of her old band of radicals wants to build a life with her. So one night, Mary sneaks into the maternity ward of an Atlanta hospital. Laura Clayborne has a successful career and now, a newborn baby. She’s the type of person who is sensitive to suffering and injustice. But the kidnapping of her infant son has brought out a white-hot fury. She’s not going to sit and wait while the FBI investigates. She’s going after Mary herself—headlong and relentless—on a twisting and violent cross-country pursuit to get her child back. But to track a madwoman, Laura will have to think like one . . . A Bram Stoker Award winner, this “expertly constructed novel of suspense and horror” (Publishers Weekly) from the author of Swan Song, Speaks the Nightbird, and other acclaimed works is “feverishly exciting . . . a page-whipping thriller” (Kirkus Reviews).",5,Open Road Media,490,1453231552,horror,/copertina libri/Mine.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robert R. McCammon,Bethany's Sin,"A family moves to a small town dominated by a murderous cult Despite its eerie name, Bethany’s Sin is a pleasant place. After a life of grim poverty, this new community seems like heaven to Evan Reid and his family. With its quaint shops, manicured lawns, and fresh summer smell, the town charms the Vietnam veteran, his wife, and their daughter like nowhere else they have ever been. But beneath that cheerful façade lurks something deadly. As soon as they enter their new house, Evan is consumed by fear. He can’t place its source, but there is something about the town’s mayor, Kathryn Drago, which makes him uneasy. By day she is a harmless retired archaeologist. But at night she leads an Amazonian cult whose next ritual calls for a secret ingredient: the blood of Evan Reid.",5,Open Road Media,350,1453231471,horror,/copertina libri/Bethany'sSin.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Dean Koontz,The Face of Fear,"A brutal killer known as ?The Butcher” is stalking women in New York City. When the police enlist the help of clairvoyant Graham Harris, the horrifying images of the Butcher's crimes replay in Harris's mind?sometimes even at the moment they are happening. Then he sees the most terrifying vision of all?that of his own murder. Harris and his girlfriend soon find themselves trapped on the fortieth floor of a deserted office building. The guards have been murdered, the elevators shut down, and the stairways blocked. The only way out is to climb down the sheer face of the building. But there is a blizzard outside with fifty-mile-an-hour winds?and a dangerous fall from Mount Everest has left Harris paralyzed with fear. He must risk the climb?or become the Butcher's next victim. With a new afterword by the author",5,Penguin,341,425250755,horror,/copertina libri/TheFaceOfFear.jpg,30,È possibile estendere il prestito per altri 30 giorni.
